Country Code,Country,EU Amount,Member State Amount,Total Amount,,2014 GDP in €,
AT,Austria,4.922.866.429 €,5.732.094.837 €,10.654.961.266 €,,330.417.000.000 €,"0,21%"
BE,Belgium,2.710.285.897 €,3.330.521.519 €,6.040.807.416 €,,400.805.000.000 €,"0,10%"
BG,Bulgaria,9.877.574.865 €,1.856.448.143 €,11.734.023.008 €,,42.762.000.000 €,"3,30%"
CY,Cyprus,874.161.294 €,245.836.875 €,1.119.998.169 €,,17.567.000.000 €,"0,71%"
CZ,Czech Republic,23.980.000.586 €,8.311.365.441 €,32.291.366.027 €,,156.660.000.000 €,"2,19%"
DE,Germany,27.934.975.460 €,16.822.546.496 €,44.757.521.956 €,,2.923.930.000.000 €,"0,14%"
DK,Denmark,1.540.390.792 €,712.665.638 €,2.253.056.430 €,,260.581.000.000 €,"0,08%"
EE,Estonia,4.458.872.261 €,1.544.230.379 €,6.003.102.640 €,,19.758.000.000 €,"3,22%"
ES,Spain,37.400.958.940 €,15.877.552.486 €,53.278.511.426 €,,1.037.025.000.000 €,"0,52%"
FI,Finland,3.759.258.101 €,4.664.333.330 €,8.423.591.431 €,,205.364.000.000 €,"0,26%"
FR,France,26.736.000.877 €,19.047.587.648 €,45.783.588.525 €,,2.139.964.000.000 €,"0,18%"
GR,Greece,20.352.316.870 €,4.613.045.571 €,24.965.362.441 €,,177.940.000.000 €,"1,63%"
HR,Croatia,10.742.121.414 €,1.935.025.695 €,12.677.147.109 €,,42.977.000.000 €,"3,57%"
HU,Hungary,25.013.873.769 €,4.632.801.667 €,29.646.675.436 €,,104.953.000.000 €,"3,40%"
IE,Ireland,3.357.980.141 €,2.774.376.184 €,6.132.356.325 €,,193.159.000.000 €,"0,25%"
IT,Italy,42.667.897.430 €,30.956.533.270 €,73.624.430.700 €,,1.620.381.000.000 €,"0,38%"
LT,Lithuania,8.385.916.592 €,1.561.261.704 €,9.947.178.296 €,,36.590.000.000 €,"3,27%"
LU,Luxembourg,140.133.226 €,316.286.603 €,456.419.829 €,,49.272.000.000 €,"0,04%"
LV,Latvia,5.633.670.738 €,1.274.365.603 €,6.908.036.341 €,,23.607.000.000 €,"3,41%"
MT,Malta,827.943.874 €,195.950.837 €,1.023.894.711 €,,8.092.000.000 €,"1,46%"
NL,Netherlands,1.881.445.060 €,1.850.176.955 €,3.731.622.015 €,,663.008.000.000 €,"0,04%"
PO,Poland,86.095.237.607 €,18.803.786.949 €,104.899.024.556 €,,410.989.000.000 €,"2,99%"
PT,Portugal,25.793.488.152 €,6.898.391.010 €,32.691.879.162 €,,173.079.000.000 €,"2,13%"
RO,Romania,30.837.525.682 €,5.609.993.223 €,36.447.518.905 €,,150.357.000.000 €,"2,93%"
SE,Sweden,3.647.232.234 €,4.332.797.024 €,7.980.029.258 €,,432.691.000.000 €,"0,12%"
SI,Slovenia,3.874.558.685 €,1.021.538.006 €,4.896.096.691 €,,37.332.000.000 €,"1,48%"
SK,Slovakia,15.343.793.992 €,4.734.437.726 €,20.078.231.718 €,,75.946.000.000 €,"2,89%"
UK,United Kingdom,16.417.082.032 €,10.868.535.313 €,27.285.617.345 €,,2.260.804.000.000 €,"0,10%"
