Country Code,Country,EU Amount,Member State Amount,Total Amount
LU,Luxembourg,140.133.226 €,316.286.603 €,456.419.829 €
MT,Malta,827.943.874 €,195.950.837 €,1.023.894.711 €
CY,Cyprus,874.161.294 €,245.836.875 €,1.119.998.169 €
DK,Denmark,1.540.390.792 €,712.665.638 €,2.253.056.430 €
NL,Netherlands,1.881.445.060 €,1.850.176.955 €,3.731.622.015 €
BE,Belgium,2.710.285.897 €,3.330.521.519 €,6.040.807.416 €
IE,Ireland,3.357.980.141 €,2.774.376.184 €,6.132.356.325 €
SE,Sweden,3.647.232.234 €,4.332.797.024 €,7.980.029.258 €
FI,Finland,3.759.258.101 €,4.664.333.330 €,8.423.591.431 €
SI,Slovenia,3.874.558.685 €,1.021.538.006 €,4.896.096.691 €
EE,Estonia,4.458.872.261 €,1.544.230.379 €,6.003.102.640 €
AT,Austria,4.922.866.429 €,5.732.094.837 €,10.654.961.266 €
LV,Latvia,5.633.670.738 €,1.274.365.603 €,6.908.036.341 €
LT,Lithuania,8.385.916.592 €,1.561.261.704 €,9.947.178.296 €
BG,Bulgaria,9.877.574.865 €,1.856.448.143 €,11.734.023.008 €
HR,Croatia,10.742.121.414 €,1.935.025.695 €,12.677.147.109 €
SK,Slovakia,15.343.793.992 €,4.734.437.726 €,20.078.231.718 €
UK,United Kingdom,16.417.082.032 €,10.868.535.313 €,27.285.617.345 €
GR,Greece,20.352.316.870 €,4.613.045.571 €,24.965.362.441 €
CZ,Czech Republic,23.980.000.586 €,8.311.365.441 €,32.291.366.027 €
HU,Hungary,25.013.873.769 €,4.632.801.667 €,29.646.675.436 €
PT,Portugal,25.793.488.152 €,6.898.391.010 €,32.691.879.162 €
FR,France,26.736.000.877 €,19.047.587.648 €,45.783.588.525 €
DE,Germany,27.934.975.460 €,16.822.546.496 €,44.757.521.956 €
RO,Romania,30.837.525.682 €,5.609.993.223 €,36.447.518.905 €
ES,Spain,37.400.958.940 €,15.877.552.486 €,53.278.511.426 €
IT,Italy,42.667.897.430 €,30.956.533.270 €,73.624.430.700 €
PO,Poland,86.095.237.607 €,18.803.786.949 €,104.899.024.556 €
